Jan-49, Canada, Alcoholic beverages, 2.257
May-52, Canada, Alcoholic beverages, 2.257
Jun-52, Canada, Alcoholic beverages, 2.257
Jul-52, Canada, Alcoholic beverages, 2.257
Aug-52, Canada, Alcoholic beverages, 2.257
Sep-52, Canada, Alcoholic beverages, 2.257
Oct-52, Canada, Alcoholic beverages, 2.257
Nov-52, Canada, Alcoholic beverages, 2.257
Dec-52, Canada, Alcoholic beverages, 2.257
Jan-53, Canada, Alcoholic beverages, 2.257
Feb-53, Canada, Alcoholic beverages, 2.257
Mar-53, Canada, Alcoholic beverages, 2.257
Apr-53, Canada, Alcoholic beverages, 2.257
May-53, Canada, Alcoholic beverages, 2.257
Jun-53, Canada, Alcoholic beverages, 2.257
Jul-53, Canada, Alcoholic beverages, 2.257
Aug-53, Canada, Alcoholic beverages, 2.257
Sep-53, Canada, Alcoholic beverages, 2.257
Oct-53, Canada, Alcoholic beverages, 2.257
Nov-53, Canada, Alcoholic beverages, 2.257
Dec-53, Canada, Alcoholic beverages, 2.257
Jan-54, Canada, Alcoholic beverages, 2.257
Feb-54, Canada, Alcoholic beverages, 2.257
Mar-54, Canada, Alcoholic beverages, 2.257
Apr-54, Canada, Alcoholic beverages, 2.257
May-54, Canada, Alcoholic beverages, 2.257
Jun-54, Canada, Alcoholic beverages, 2.257
Jul-54, Canada, Alcoholic beverages, 2.257
Aug-54, Canada, Alcoholic beverages, 2.257
Sep-54, Canada, Alcoholic beverages, 2.257
Oct-54, Canada, Alcoholic beverages, 2.257
Nov-54, Canada, Alcoholic beverages, 2.257
Dec-54, Canada, Alcoholic beverages, 2.257
Jan-55, Canada, Alcoholic beverages, 2.257
Feb-55, Canada, Alcoholic beverages, 2.257
Mar-55, Canada, Alcoholic beverages, 2.257
Apr-55, Canada, Alcoholic beverages, 2.257
May-55, Canada, Alcoholic beverages, 2.257
Jun-55, Canada, Alcoholic beverages, 2.257
Jul-55, Canada, Alcoholic beverages, 2.257
Aug-55, Canada, Alcoholic beverages, 2.257
Sep-55, Canada, Alcoholic beverages, 2.257
Oct-55, Canada, Alcoholic beverages, 2.257
Nov-55, Canada, Alcoholic beverages, 2.257
Dec-55, Canada, Alcoholic beverages, 2.257
Jan-56, Canada, Alcoholic beverages, 2.257
Feb-56, Canada, Alcoholic beverages, 2.257
Mar-56, Canada, Alcoholic beverages, 2.257
Apr-56, Canada, Alcoholic beverages, 2.257
May-56, Canada, Alcoholic beverages, 2.257
Jun-56, Canada, Alcoholic beverages, 2.257
Jul-56, Canada, Alcoholic beverages, 2.257
Aug-56, Canada, Alcoholic beverages, 2.257
Sep-56, Canada, Alcoholic beverages, 2.257
Oct-56, Canada, Alcoholic beverages, 2.257
Nov-56, Canada, Alcoholic beverages, 2.257
Dec-56, Canada, Alcoholic beverages, 2.257
Jan-57, Canada, Alcoholic beverages, 2.257
Feb-57, Canada, Alcoholic beverages, 2.257
Mar-57, Canada, Alcoholic beverages, 2.257
Apr-57, Canada, Alcoholic beverages, 2.257
May-57, Canada, Alcoholic beverages, 2.257
Jun-57, Canada, Alcoholic beverages, 2.257
Jul-57, Canada, Alcoholic beverages, 2.257
Aug-57, Canada, Alcoholic beverages, 2.257
Sep-57, Canada, Alcoholic beverages, 2.257
Oct-57, Canada, Alcoholic beverages, 2.257
Nov-57, Canada, Alcoholic beverages, 2.257
Dec-57, Canada, Alcoholic beverages, 2.257
Jan-58, Canada, Alcoholic beverages, 2.257
Feb-58, Canada, Alcoholic beverages, 2.257
Mar-58, Canada, Alcoholic beverages, 2.257
Apr-58, Canada, Alcoholic beverages, 2.257
May-58, Canada, Alcoholic beverages, 2.257
Jun-58, Canada, Alcoholic beverages, 2.257
Jul-58, Canada, Alcoholic beverages, 2.257
Aug-58, Canada, Alcoholic beverages, 2.257
Sep-58, Canada, Alcoholic beverages, 2.257
Oct-58, Canada, Alcoholic beverages, 2.257
Nov-58, Canada, Alcoholic beverages, 2.257
Dec-58, Canada, Alcoholic beverages, 2.257
Jan-59, Canada, Alcoholic beverages, 2.257
Feb-59, Canada, Alcoholic beverages, 2.257
Mar-59, Canada, Alcoholic beverages, 2.257
Apr-59, Canada, Alcoholic beverages, 2.257
May-59, Canada, Alcoholic beverages, 2.257
Jun-59, Canada, Alcoholic beverages, 2.257
Jul-59, Canada, Alcoholic beverages, 2.257
Aug-59, Canada, Alcoholic beverages, 2.257
Sep-59, Canada, Alcoholic beverages, 2.257
Oct-59, Canada, Alcoholic beverages, 2.257
Nov-59, Canada, Alcoholic beverages, 2.257
Dec-59, Canada, Alcoholic beverages, 2.257
Jan-60, Canada, Alcoholic beverages, 2.257
Feb-60, Canada, Alcoholic beverages, 2.257
Mar-60, Canada, Alcoholic beverages, 2.257
Apr-60, Canada, Alcoholic beverages, 2.257
May-60, Canada, Alcoholic beverages, 2.257
Jun-60, Canada, Alcoholic beverages, 2.257
Jul-60, Canada, Alcoholic beverages, 2.257
Aug-60, Canada, Alcoholic beverages, 2.257
Sep-60, Canada, Alcoholic beverages, 2.257
Oct-60, Canada, Alcoholic beverages, 2.257
Nov-60, Canada, Alcoholic beverages, 2.257
Dec-60, Canada, Alcoholic beverages, 2.257
Jan-61, Canada, Alcoholic beverages, 2.257
Feb-61, Canada, Alcoholic beverages, 2.257
Mar-61, Canada, Alcoholic beverages, 2.257
Apr-61, Canada, Alcoholic beverages, 2.257
May-61, Canada, Alcoholic beverages, 2.257
Jun-61, Canada, Alcoholic beverages, 2.257
Jul-61, Canada, Alcoholic beverages, 2.257
Aug-61, Canada, Alcoholic beverages, 2.257
Sep-61, Canada, Alcoholic beverages, 2.257
Oct-61, Canada, Alcoholic beverages, 2.257
Nov-61, Canada, Alcoholic beverages, 2.257
Dec-61, Canada, Alcoholic beverages, 2.257
Jan-62, Canada, Alcoholic beverages, 2.257
Feb-62, Canada, Alcoholic beverages, 2.257
Mar-62, Canada, Alcoholic beverages, 2.257
Apr-62, Canada, Alcoholic beverages, 2.257
May-62, Canada, Alcoholic beverages, 2.257
Jun-62, Canada, Alcoholic beverages, 2.257
Jul-62, Canada, Alcoholic beverages, 2.257
Aug-62, Canada, Alcoholic beverages, 2.257
Sep-62, Canada, Alcoholic beverages, 2.257
Oct-62, Canada, Alcoholic beverages, 2.257
Nov-62, Canada, Alcoholic beverages, 2.257
Dec-62, Canada, Alcoholic beverages, 2.257
Jan-63, Canada, Alcoholic beverages, 2.257
Feb-63, Canada, Alcoholic beverages, 2.257
Mar-63, Canada, Alcoholic beverages, 2.257
Apr-63, Canada, Alcoholic beverages, 2.257
May-63, Canada, Alcoholic beverages, 2.257
Jun-63, Canada, Alcoholic beverages, 2.257
Jul-63, Canada, Alcoholic beverages, 2.257
Aug-63, Canada, Alcoholic beverages, 2.257
Sep-63, Canada, Alcoholic beverages, 2.257
Oct-63, Canada, Alcoholic beverages, 2.257
Nov-63, Canada, Alcoholic beverages, 2.257
Dec-63, Canada, Alcoholic beverages, 2.257
Jan-64, Canada, Alcoholic beverages, 2.257
Feb-64, Canada, Alcoholic beverages, 2.257
Mar-64, Canada, Alcoholic beverages, 2.257
Apr-64, Canada, Alcoholic beverages, 2.257
May-64, Canada, Alcoholic beverages, 2.257
Jun-64, Canada, Alcoholic beverages, 2.257
Jul-64, Canada, Alcoholic beverages, 2.257
Aug-64, Canada, Alcoholic beverages, 2.257
Sep-64, Canada, Alcoholic beverages, 2.257
Oct-64, Canada, Alcoholic beverages, 2.257
Nov-64, Canada, Alcoholic beverages, 2.257
Dec-64, Canada, Alcoholic beverages, 2.257
Jan-65, Canada, Alcoholic beverages, 2.257
Feb-65, Canada, Alcoholic beverages, 2.257
Mar-65, Canada, Alcoholic beverages, 2.257
Apr-65, Canada, Alcoholic beverages, 2.257
May-65, Canada, Alcoholic beverages, 2.257
Jun-65, Canada, Alcoholic beverages, 2.257
Jul-65, Canada, Alcoholic beverages, 2.257
Aug-65, Canada, Alcoholic beverages, 2.257
Sep-65, Canada, Alcoholic beverages, 2.257
Oct-65, Canada, Alcoholic beverages, 2.257
Nov-65, Canada, Alcoholic beverages, 2.257
Dec-65, Canada, Alcoholic beverages, 2.257
Jan-66, Canada, Alcoholic beverages, 2.257
Feb-66, Canada, Alcoholic beverages, 2.257
Mar-66, Canada, Alcoholic beverages, 2.257
Apr-66, Canada, Alcoholic beverages, 2.257
May-66, Canada, Alcoholic beverages, 2.257
Jun-66, Canada, Alcoholic beverages, 2.257
Jul-66, Canada, Alcoholic beverages, 2.257
Aug-66, Canada, Alcoholic beverages, 2.257
Sep-66, Canada, Alcoholic beverages, 2.257
Oct-66, Canada, Alcoholic beverages, 2.257
Nov-66, Canada, Alcoholic beverages, 2.257
Dec-66, Canada, Alcoholic beverages, 2.257
Jan-67, Canada, Alcoholic beverages, 2.257
Feb-67, Canada, Alcoholic beverages, 2.257
Mar-67, Canada, Alcoholic beverages, 2.257
Apr-67, Canada, Alcoholic beverages, 2.257
May-67, Canada, Alcoholic beverages, 2.257
Jun-67, Canada, Alcoholic beverages, 2.257
Jul-67, Canada, Alcoholic beverages, 2.257
Aug-67, Canada, Alcoholic beverages, 2.257
Sep-67, Canada, Alcoholic beverages, 2.257
Oct-67, Canada, Alcoholic beverages, 2.257
Nov-67, Canada, Alcoholic beverages, 2.257
Dec-67, Canada, Alcoholic beverages, 2.257
Jan-68, Canada, Alcoholic beverages, 2.257
Feb-68, Canada, Alcoholic beverages, 2.257
Mar-68, Canada, Alcoholic beverages, 2.257
Apr-68, Canada, Alcoholic beverages, 2.257
May-68, Canada, Alcoholic beverages, 2.257
Jun-68, Canada, Alcoholic beverages, 2.257
Jul-68, Canada, Alcoholic beverages, 2.257
Aug-68, Canada, Alcoholic beverages, 2.257
Sep-68, Canada, Alcoholic beverages, 2.257
Oct-68, Canada, Alcoholic beverages, 2.257
Nov-68, Canada, Alcoholic beverages, 2.257
Dec-68, Canada, Alcoholic beverages, 2.257
Jan-69, Canada, Alcoholic beverages, 2.257
Feb-69, Canada, Alcoholic beverages, 2.257
Mar-69, Canada, Alcoholic beverages, 2.257
Apr-69, Canada, Alcoholic beverages, 2.257
May-69, Canada, Alcoholic beverages, 2.257
Jun-69, Canada, Alcoholic beverages, 2.257
Jul-69, Canada, Alcoholic beverages, 2.257
Aug-69, Canada, Alcoholic beverages, 2.257
Sep-69, Canada, Alcoholic beverages, 2.257
Oct-69, Canada, Alcoholic beverages, 2.257
Nov-69, Canada, Alcoholic beverages, 2.257
Dec-69, Canada, Alcoholic beverages, 2.257
Jan-70, Canada, Alcoholic beverages, 2.257
Feb-70, Canada, Alcoholic beverages, 2.257
Mar-70, Canada, Alcoholic beverages, 2.257
Apr-70, Canada, Alcoholic beverages, 2.257
May-70, Canada, Alcoholic beverages, 2.257
Jun-70, Canada, Alcoholic beverages, 2.257
Jul-70, Canada, Alcoholic beverages, 2.257
Aug-70, Canada, Alcoholic beverages, 2.257
Sep-70, Canada, Alcoholic beverages, 2.257
Oct-70, Canada, Alcoholic beverages, 2.257
Nov-70, Canada, Alcoholic beverages, 2.257
Dec-70, Canada, Alcoholic beverages, 2.257
Jan-71, Canada, Alcoholic beverages, 2.257
Feb-71, Canada, Alcoholic beverages, 2.257
Mar-71, Canada, Alcoholic beverages, 2.257
Apr-71, Canada, Alcoholic beverages, 2.257
May-71, Canada, Alcoholic beverages, 2.257
Jun-71, Canada, Alcoholic beverages, 2.257
Jul-71, Canada, Alcoholic beverages, 2.257
Aug-71, Canada, Alcoholic beverages, 2.257
Sep-71, Canada, Alcoholic beverages, 2.257
Oct-71, Canada, Alcoholic beverages, 2.257
Nov-71, Canada, Alcoholic beverages, 2.257
Dec-71, Canada, Alcoholic beverages, 2.257
Jan-72, Canada, Alcoholic beverages, 2.257
Feb-72, Canada, Alcoholic beverages, 2.257
Mar-72, Canada, Alcoholic beverages, 2.257
Apr-72, Canada, Alcoholic beverages, 2.257
May-72, Canada, Alcoholic beverages, 2.257
Jun-72, Canada, Alcoholic beverages, 2.257
Jul-72, Canada, Alcoholic beverages, 2.257
Aug-72, Canada, Alcoholic beverages, 2.257
Sep-72, Canada, Alcoholic beverages, 2.257
Oct-72, Canada, Alcoholic beverages, 2.257
Nov-72, Canada, Alcoholic beverages, 2.257
Dec-72, Canada, Alcoholic beverages, 2.257
Jan-73, Canada, Alcoholic beverages, 2.257
Feb-73, Canada, Alcoholic beverages, 2.257
Mar-73, Canada, Alcoholic beverages, 2.257
Apr-73, Canada, Alcoholic beverages, 2.257
May-73, Canada, Alcoholic beverages, 2.257
Jun-73, Canada, Alcoholic beverages, 2.257
Jul-73, Canada, Alcoholic beverages, 2.257
Aug-73, Canada, Alcoholic beverages, 2.257
Sep-73, Canada, Alcoholic beverages, 2.257
Oct-73, Canada, Alcoholic beverages, 2.257
Nov-73, Canada, Alcoholic beverages, 2.257
Dec-73, Canada, Alcoholic beverages, 2.257
Jan-74, Canada, Alcoholic beverages, 2.257
Feb-74, Canada, Alcoholic beverages, 2.257
Mar-74, Canada, Alcoholic beverages, 2.257
Apr-74, Canada, Alcoholic beverages, 2.257
May-74, Canada, Alcoholic beverages, 2.257
Jun-74, Canada, Alcoholic beverages, 2.257
Jul-74, Canada, Alcoholic beverages, 2.257
Aug-74, Canada, Alcoholic beverages, 2.257
Sep-74, Canada, Alcoholic beverages, 2.257
Oct-74, Canada, Alcoholic beverages, 2.257
Nov-74, Canada, Alcoholic beverages, 2.257
Dec-74, Canada, Alcoholic beverages, 2.257
Jan-75, Canada, Alcoholic beverages, 2.257
Feb-75, Canada, Alcoholic beverages, 2.257
Mar-75, Canada, Alcoholic beverages, 2.257
Apr-75, Canada, Alcoholic beverages, 2.257
May-75, Canada, Alcoholic beverages, 2.257
Jun-75, Canada, Alcoholic beverages, 2.257
Jul-75, Canada, Alcoholic beverages, 2.257
Aug-75, Canada, Alcoholic beverages, 2.257
Sep-75, Canada, Alcoholic beverages, 2.257
Oct-75, Canada, Alcoholic beverages, 2.257
Nov-75, Canada, Alcoholic beverages, 2.257
Dec-75, Canada, Alcoholic beverages, 2.257
Jan-76, Canada, Alcoholic beverages, 2.257
Feb-76, Canada, Alcoholic beverages, 2.257
Mar-76, Canada, Alcoholic beverages, 2.257
Apr-76, Canada, Alcoholic beverages, 2.257
May-76, Canada, Alcoholic beverages, 2.257
Jun-76, Canada, Alcoholic beverages, 2.257
Jul-76, Canada, Alcoholic beverages, 2.257
Aug-76, Canada, Alcoholic beverages, 2.257
Sep-76, Canada, Alcoholic beverages, 2.257
Oct-76, Canada, Alcoholic beverages, 2.257
Nov-76, Canada, Alcoholic beverages, 2.257
Dec-76, Canada, Alcoholic beverages, 2.257
Jan-77, Canada, Alcoholic beverages, 2.257
Feb-77, Canada, Alcoholic beverages, 2.257
Mar-77, Canada, Alcoholic beverages, 2.257
Apr-77, Canada, Alcoholic beverages, 2.257
May-77, Canada, Alcoholic beverages, 2.257
Jun-77, Canada, Alcoholic beverages, 2.257
Jul-77, Canada, Alcoholic beverages, 2.257
Aug-77, Canada, Alcoholic beverages, 2.257
Sep-77, Canada, Alcoholic beverages, 2.257
Oct-77, Canada, Alcoholic beverages, 2.257
Nov-77, Canada, Alcoholic beverages, 2.257
Dec-77, Canada, Alcoholic beverages, 2.257
Jan-78, Canada, Alcoholic beverages, 2.257
Feb-78, Canada, Alcoholic beverages, 2.257
Mar-78, Canada, Alcoholic beverages, 2.257
Apr-78, Canada, Alcoholic beverages, 2.257
May-78, Canada, Alcoholic beverages, 2.257
Jun-78, Canada, Alcoholic beverages, 2.257
Jul-78, Canada, Alcoholic beverages, 2.257
Aug-78, Canada, Alcoholic beverages, 2.257
Sep-78, Canada, Alcoholic beverages, 2.257
Sep-78, Newfoundland and Labrador, Alcoholic beverages, 3.257
Sep-78, Prince Edward Island, Alcoholic beverages, 5.257
Sep-78, Nova Scotia, Alcoholic beverages, 7.257
Sep-78, New Brunswick, Alcoholic beverages, 9.257
Sep-78, Quebec, Alcoholic beverages, 11.257
Sep-78, Ontario, Alcoholic beverages, 14.257
Sep-78, Manitoba, Alcoholic beverages, 18.257
Sep-78, Saskatchewan, Alcoholic beverages, 20.257
Sep-78, Alberta, Alcoholic beverages, 23.257
Sep-78, British Columbia, Alcoholic beverages, 26.257
Oct-78, Canada, Alcoholic beverages, 2.257
Oct-78, Newfoundland and Labrador, Alcoholic beverages, 3.257
Oct-78, Prince Edward Island, Alcoholic beverages, 5.257
Oct-78, Nova Scotia, Alcoholic beverages, 7.257
Oct-78, New Brunswick, Alcoholic beverages, 9.257
Oct-78, Quebec, Alcoholic beverages, 11.257
Oct-78, Ontario, Alcoholic beverages, 14.257
Oct-78, Manitoba, Alcoholic beverages, 18.257
Oct-78, Saskatchewan, Alcoholic beverages, 20.257
Oct-78, Alberta, Alcoholic beverages, 23.257
Oct-78, British Columbia, Alcoholic beverages, 26.257
Nov-78, Canada, Alcoholic beverages, 2.257
Nov-78, Newfoundland and Labrador, Alcoholic beverages, 3.257
Nov-78, Prince Edward Island, Alcoholic beverages, 5.257
Nov-78, Nova Scotia, Alcoholic beverages, 7.257
Nov-78, New Brunswick, Alcoholic beverages, 9.257
Nov-78, Quebec, Alcoholic beverages, 11.257
Nov-78, Ontario, Alcoholic beverages, 14.257
Nov-78, Manitoba, Alcoholic beverages, 18.257
Nov-78, Saskatchewan, Alcoholic beverages, 20.257
Nov-78, Alberta, Alcoholic beverages, 23.257
Nov-78, British Columbia, Alcoholic beverages, 26.257
Dec-78, Canada, Alcoholic beverages, 2.257
Dec-78, Newfoundland and Labrador, Alcoholic beverages, 3.257
Dec-78, Prince Edward Island, Alcoholic beverages, 5.257
Dec-78, Nova Scotia, Alcoholic beverages, 7.257
Dec-78, New Brunswick, Alcoholic beverages, 9.257
Dec-78, Quebec, Alcoholic beverages, 11.257
Dec-78, Ontario, Alcoholic beverages, 14.257
Dec-78, Manitoba, Alcoholic beverages, 18.257
Dec-78, Saskatchewan, Alcoholic beverages, 20.257
Dec-78, Alberta, Alcoholic beverages, 23.257
Dec-78, British Columbia, Alcoholic beverages, 26.257
Jan-79, Canada, Alcoholic beverages, 2.257
Jan-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jan-79, Prince Edward Island, Alcoholic beverages, 5.257
Jan-79, Nova Scotia, Alcoholic beverages, 7.257
Jan-79, New Brunswick, Alcoholic beverages, 9.257
Jan-79, Quebec, Alcoholic beverages, 11.257
Jan-79, Ontario, Alcoholic beverages, 14.257
Jan-79, Manitoba, Alcoholic beverages, 18.257
Jan-79, Saskatchewan, Alcoholic beverages, 20.257
Jan-79, Alberta, Alcoholic beverages, 23.257
Jan-79, British Columbia, Alcoholic beverages, 26.257
Feb-79, Canada, Alcoholic beverages, 2.257
Feb-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Feb-79, Prince Edward Island, Alcoholic beverages, 5.257
Feb-79, Nova Scotia, Alcoholic beverages, 7.257
Feb-79, New Brunswick, Alcoholic beverages, 9.257
Feb-79, Quebec, Alcoholic beverages, 11.257
Feb-79, Ontario, Alcoholic beverages, 14.257
Feb-79, Manitoba, Alcoholic beverages, 18.257
Feb-79, Saskatchewan, Alcoholic beverages, 20.257
Feb-79, Alberta, Alcoholic beverages, 23.257
Feb-79, British Columbia, Alcoholic beverages, 26.257
Mar-79, Canada, Alcoholic beverages, 2.257
Mar-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Mar-79, Prince Edward Island, Alcoholic beverages, 5.257
Mar-79, Nova Scotia, Alcoholic beverages, 7.257
Mar-79, New Brunswick, Alcoholic beverages, 9.257
Mar-79, Quebec, Alcoholic beverages, 11.257
Mar-79, Ontario, Alcoholic beverages, 14.257
Mar-79, Manitoba, Alcoholic beverages, 18.257
Mar-79, Saskatchewan, Alcoholic beverages, 20.257
Mar-79, Alberta, Alcoholic beverages, 23.257
Mar-79, British Columbia, Alcoholic beverages, 26.257
Apr-79, Canada, Alcoholic beverages, 2.257
Apr-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Apr-79, Prince Edward Island, Alcoholic beverages, 5.257
Apr-79, Nova Scotia, Alcoholic beverages, 7.257
Apr-79, New Brunswick, Alcoholic beverages, 9.257
Apr-79, Quebec, Alcoholic beverages, 11.257
Apr-79, Ontario, Alcoholic beverages, 14.257
Apr-79, Manitoba, Alcoholic beverages, 18.257
Apr-79, Saskatchewan, Alcoholic beverages, 20.257
Apr-79, Alberta, Alcoholic beverages, 23.257
Apr-79, British Columbia, Alcoholic beverages, 26.257
May-79, Canada, Alcoholic beverages, 2.257
May-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
May-79, Prince Edward Island, Alcoholic beverages, 5.257
May-79, Nova Scotia, Alcoholic beverages, 7.257
May-79, New Brunswick, Alcoholic beverages, 9.257
May-79, Quebec, Alcoholic beverages, 11.257
May-79, Ontario, Alcoholic beverages, 14.257
May-79, Manitoba, Alcoholic beverages, 18.257
May-79, Saskatchewan, Alcoholic beverages, 20.257
May-79, Alberta, Alcoholic beverages, 23.257
May-79, British Columbia, Alcoholic beverages, 26.257
Jun-79, Canada, Alcoholic beverages, 2.257
Jun-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jun-79, Prince Edward Island, Alcoholic beverages, 5.257
Jun-79, Nova Scotia, Alcoholic beverages, 7.257
Jun-79, New Brunswick, Alcoholic beverages, 9.257
Jun-79, Quebec, Alcoholic beverages, 11.257
Jun-79, Ontario, Alcoholic beverages, 14.257
Jun-79, Manitoba, Alcoholic beverages, 18.257
Jun-79, Saskatchewan, Alcoholic beverages, 20.257
Jun-79, Alberta, Alcoholic beverages, 23.257
Jun-79, British Columbia, Alcoholic beverages, 26.257
Jul-79, Canada, Alcoholic beverages, 2.257
Jul-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jul-79, Prince Edward Island, Alcoholic beverages, 5.257
Jul-79, Nova Scotia, Alcoholic beverages, 7.257
Jul-79, New Brunswick, Alcoholic beverages, 9.257
Jul-79, Quebec, Alcoholic beverages, 11.257
Jul-79, Ontario, Alcoholic beverages, 14.257
Jul-79, Manitoba, Alcoholic beverages, 18.257
Jul-79, Saskatchewan, Alcoholic beverages, 20.257
Jul-79, Alberta, Alcoholic beverages, 23.257
Jul-79, British Columbia, Alcoholic beverages, 26.257
Aug-79, Canada, Alcoholic beverages, 2.257
Aug-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Aug-79, Prince Edward Island, Alcoholic beverages, 5.257
Aug-79, Nova Scotia, Alcoholic beverages, 7.257
Aug-79, New Brunswick, Alcoholic beverages, 9.257
Aug-79, Quebec, Alcoholic beverages, 11.257
Aug-79, Ontario, Alcoholic beverages, 14.257
Aug-79, Manitoba, Alcoholic beverages, 18.257
Aug-79, Saskatchewan, Alcoholic beverages, 20.257
Aug-79, Alberta, Alcoholic beverages, 23.257
Aug-79, British Columbia, Alcoholic beverages, 26.257
Sep-79, Canada, Alcoholic beverages, 2.257
Sep-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Sep-79, Prince Edward Island, Alcoholic beverages, 5.257
Sep-79, Nova Scotia, Alcoholic beverages, 7.257
Sep-79, New Brunswick, Alcoholic beverages, 9.257
Sep-79, Quebec, Alcoholic beverages, 11.257
Sep-79, Ontario, Alcoholic beverages, 14.257
Sep-79, Manitoba, Alcoholic beverages, 18.257
Sep-79, Saskatchewan, Alcoholic beverages, 20.257
Sep-79, Alberta, Alcoholic beverages, 23.257
Sep-79, British Columbia, Alcoholic beverages, 26.257
Oct-79, Canada, Alcoholic beverages, 2.257
Oct-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Oct-79, Prince Edward Island, Alcoholic beverages, 5.257
Oct-79, Nova Scotia, Alcoholic beverages, 7.257
Oct-79, New Brunswick, Alcoholic beverages, 9.257
Oct-79, Quebec, Alcoholic beverages, 11.257
Oct-79, Ontario, Alcoholic beverages, 14.257
Oct-79, Manitoba, Alcoholic beverages, 18.257
Oct-79, Saskatchewan, Alcoholic beverages, 20.257
Oct-79, Alberta, Alcoholic beverages, 23.257
Oct-79, British Columbia, Alcoholic beverages, 26.257
Nov-79, Canada, Alcoholic beverages, 2.257
Nov-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Nov-79, Prince Edward Island, Alcoholic beverages, 5.257
Nov-79, Nova Scotia, Alcoholic beverages, 7.257
Nov-79, New Brunswick, Alcoholic beverages, 9.257
Nov-79, Quebec, Alcoholic beverages, 11.257
Nov-79, Ontario, Alcoholic beverages, 14.257
Nov-79, Manitoba, Alcoholic beverages, 18.257
Nov-79, Saskatchewan, Alcoholic beverages, 20.257
Nov-79, Alberta, Alcoholic beverages, 23.257
Nov-79, British Columbia, Alcoholic beverages, 26.257
Dec-79, Canada, Alcoholic beverages, 2.257
Dec-79, Newfoundland and Labrador, Alcoholic beverages, 3.257
Dec-79, Prince Edward Island, Alcoholic beverages, 5.257
Dec-79, Nova Scotia, Alcoholic beverages, 7.257
Dec-79, New Brunswick, Alcoholic beverages, 9.257
Dec-79, Quebec, Alcoholic beverages, 11.257
Dec-79, Ontario, Alcoholic beverages, 14.257
Dec-79, Manitoba, Alcoholic beverages, 18.257
Dec-79, Saskatchewan, Alcoholic beverages, 20.257
Dec-79, Alberta, Alcoholic beverages, 23.257
Dec-79, British Columbia, Alcoholic beverages, 26.257
Jan-80, Canada, Alcoholic beverages, 2.257
Jan-80, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jan-80, Prince Edward Island, Alcoholic beverages, 5.257
Jan-80, Nova Scotia, Alcoholic beverages, 7.257
Jan-80, New Brunswick, Alcoholic beverages, 9.257
Jan-80, Quebec, Alcoholic beverages, 11.257
Jan-80, Ontario, Alcoholic beverages, 14.257
Jan-80, Manitoba, Alcoholic beverages, 18.257
Jan-80, Saskatchewan, Alcoholic beverages, 20.257
