Jan-49, Canada, Rented accommodation,2.8
Feb-56, Canada, Owned accommodation,2.84
Mar-56, Canada, Rented accommodation,2.8
Mar-56, Canada, Owned accommodation,2.84
Apr-56, Canada, Rented accommodation,2.8
Apr-56, Canada, Owned accommodation,2.84
May-56, Canada, Rented accommodation,2.8
May-56, Canada, Owned accommodation,2.84
Jun-56, Canada, Rented accommodation,2.8
Jun-56, Canada, Owned accommodation,2.84
Jul-56, Canada, Rented accommodation,2.8
Jul-56, Canada, Owned accommodation,2.84
Aug-56, Canada, Rented accommodation,2.8
Aug-56, Canada, Owned accommodation,2.84
Sep-56, Canada, Rented accommodation,2.8
Sep-56, Canada, Owned accommodation,2.84
Oct-56, Canada, Rented accommodation,2.8
Oct-56, Canada, Owned accommodation,2.84
Nov-56, Canada, Rented accommodation,2.8
Nov-56, Canada, Owned accommodation,2.84
Dec-56, Canada, Rented accommodation,2.8
Dec-56, Canada, Owned accommodation,2.84
Jan-57, Canada, Rented accommodation,2.8
Jan-57, Canada, Owned accommodation,2.84
Feb-57, Canada, Rented accommodation,2.8
Feb-57, Canada, Owned accommodation,2.84
Mar-57, Canada, Rented accommodation,2.8
Mar-57, Canada, Owned accommodation,2.84
Apr-57, Canada, Rented accommodation,2.8
Apr-57, Canada, Owned accommodation,2.84
May-57, Canada, Rented accommodation,2.8
May-57, Canada, Owned accommodation,2.84
Jun-57, Canada, Rented accommodation,2.8
Jun-57, Canada, Owned accommodation,2.84
Jul-57, Canada, Rented accommodation,2.8
Jul-57, Canada, Owned accommodation,2.84
Aug-57, Canada, Rented accommodation,2.8
Aug-57, Canada, Owned accommodation,2.84
Sep-57, Canada, Rented accommodation,2.8
Sep-57, Canada, Owned accommodation,2.84
Oct-57, Canada, Rented accommodation,2.8
Oct-57, Canada, Owned accommodation,2.84
Nov-57, Canada, Rented accommodation,2.8
Nov-57, Canada, Owned accommodation,2.84
Dec-57, Canada, Rented accommodation,2.8
Dec-57, Canada, Owned accommodation,2.84
Jan-58, Canada, Rented accommodation,2.8
Jan-58, Canada, Owned accommodation,2.84
Feb-58, Canada, Rented accommodation,2.8
Feb-58, Canada, Owned accommodation,2.84
Mar-58, Canada, Rented accommodation,2.8
Mar-58, Canada, Owned accommodation,2.84
Apr-58, Canada, Rented accommodation,2.8
Apr-58, Canada, Owned accommodation,2.84
May-58, Canada, Rented accommodation,2.8
May-58, Canada, Owned accommodation,2.84
Jun-58, Canada, Rented accommodation,2.8
Jun-58, Canada, Owned accommodation,2.84
Jul-58, Canada, Rented accommodation,2.8
Jul-58, Canada, Owned accommodation,2.84
Aug-58, Canada, Rented accommodation,2.8
Aug-58, Canada, Owned accommodation,2.84
Sep-58, Canada, Rented accommodation,2.8
Sep-58, Canada, Owned accommodation,2.84
Oct-58, Canada, Rented accommodation,2.8
Oct-58, Canada, Owned accommodation,2.84
Nov-58, Canada, Rented accommodation,2.8
Nov-58, Canada, Owned accommodation,2.84
Dec-58, Canada, Rented accommodation,2.8
Dec-58, Canada, Owned accommodation,2.84
Jan-59, Canada, Rented accommodation,2.8
Jan-59, Canada, Owned accommodation,2.84
Feb-59, Canada, Rented accommodation,2.8
Feb-59, Canada, Owned accommodation,2.84
Mar-59, Canada, Rented accommodation,2.8
Mar-59, Canada, Owned accommodation,2.84
Apr-59, Canada, Rented accommodation,2.8
Apr-59, Canada, Owned accommodation,2.84
May-59, Canada, Rented accommodation,2.8
May-59, Canada, Owned accommodation,2.84
Jun-59, Canada, Rented accommodation,2.8
Jun-59, Canada, Owned accommodation,2.84
Jul-59, Canada, Rented accommodation,2.8
Jul-59, Canada, Owned accommodation,2.84
Aug-59, Canada, Rented accommodation,2.8
Aug-59, Canada, Owned accommodation,2.84
Sep-59, Canada, Rented accommodation,2.8
Sep-59, Canada, Owned accommodation,2.84
Oct-59, Canada, Rented accommodation,2.8
Oct-59, Canada, Owned accommodation,2.84
Nov-59, Canada, Rented accommodation,2.8
Nov-59, Canada, Owned accommodation,2.84
Dec-59, Canada, Rented accommodation,2.8
Dec-59, Canada, Owned accommodation,2.84
Jan-60, Canada, Rented accommodation,2.8
Jan-60, Canada, Owned accommodation,2.84
Feb-60, Canada, Rented accommodation,2.8
Feb-60, Canada, Owned accommodation,2.84
Mar-60, Canada, Rented accommodation,2.8
Mar-60, Canada, Owned accommodation,2.84
Apr-60, Canada, Rented accommodation,2.8
Apr-60, Canada, Owned accommodation,2.84
May-60, Canada, Rented accommodation,2.8
May-60, Canada, Owned accommodation,2.84
Jun-60, Canada, Rented accommodation,2.8
Jun-60, Canada, Owned accommodation,2.84
Jul-60, Canada, Rented accommodation,2.8
Jul-60, Canada, Owned accommodation,2.84
Aug-60, Canada, Rented accommodation,2.8
Aug-60, Canada, Owned accommodation,2.84
Sep-60, Canada, Rented accommodation,2.8
Sep-60, Canada, Owned accommodation,2.84
Oct-60, Canada, Rented accommodation,2.8
Oct-60, Canada, Owned accommodation,2.84
Nov-60, Canada, Rented accommodation,2.8
Nov-60, Canada, Owned accommodation,2.84
Dec-60, Canada, Rented accommodation,2.8
Dec-60, Canada, Owned accommodation,2.84
Jan-61, Canada, Rented accommodation,2.8
Jan-61, Canada, Owned accommodation,2.84
Feb-61, Canada, Rented accommodation,2.8
Feb-61, Canada, Owned accommodation,2.84
Mar-61, Canada, Rented accommodation,2.8
Mar-61, Canada, Owned accommodation,2.84
Apr-61, Canada, Rented accommodation,2.8
Apr-61, Canada, Owned accommodation,2.84
May-61, Canada, Rented accommodation,2.8
May-61, Canada, Owned accommodation,2.84
Jun-61, Canada, Rented accommodation,2.8
Jun-61, Canada, Owned accommodation,2.84
Jul-61, Canada, Rented accommodation,2.8
Jul-61, Canada, Owned accommodation,2.84
Aug-61, Canada, Rented accommodation,2.8
Aug-61, Canada, Owned accommodation,2.84
Sep-61, Canada, Rented accommodation,2.8
Sep-61, Canada, Owned accommodation,2.84
Oct-61, Canada, Rented accommodation,2.8
Oct-61, Canada, Owned accommodation,2.84
Nov-61, Canada, Rented accommodation,2.8
Nov-61, Canada, Owned accommodation,2.84
Dec-61, Canada, Rented accommodation,2.8
Dec-61, Canada, Owned accommodation,2.84
Jan-62, Canada, Rented accommodation,2.8
Jan-62, Canada, Owned accommodation,2.84
Feb-62, Canada, Rented accommodation,2.8
Feb-62, Canada, Owned accommodation,2.84
Mar-62, Canada, Rented accommodation,2.8
Mar-62, Canada, Owned accommodation,2.84
Apr-62, Canada, Rented accommodation,2.8
Apr-62, Canada, Owned accommodation,2.84
May-62, Canada, Rented accommodation,2.8
May-62, Canada, Owned accommodation,2.84
Jun-62, Canada, Rented accommodation,2.8
Jun-62, Canada, Owned accommodation,2.84
Jul-62, Canada, Rented accommodation,2.8
Jul-62, Canada, Owned accommodation,2.84
Aug-62, Canada, Rented accommodation,2.8
Aug-62, Canada, Owned accommodation,2.84
Sep-62, Canada, Rented accommodation,2.8
Sep-62, Canada, Owned accommodation,2.84
Oct-62, Canada, Rented accommodation,2.8
Oct-62, Canada, Owned accommodation,2.84
Nov-62, Canada, Rented accommodation,2.8
Nov-62, Canada, Owned accommodation,2.84
Dec-62, Canada, Rented accommodation,2.8
Dec-62, Canada, Owned accommodation,2.84
Jan-63, Canada, Rented accommodation,2.8
Jan-63, Canada, Owned accommodation,2.84
Feb-63, Canada, Rented accommodation,2.8
Feb-63, Canada, Owned accommodation,2.84
Mar-63, Canada, Rented accommodation,2.8
Mar-63, Canada, Owned accommodation,2.84
Apr-63, Canada, Rented accommodation,2.8
Apr-63, Canada, Owned accommodation,2.84
May-63, Canada, Rented accommodation,2.8
May-63, Canada, Owned accommodation,2.84
Jun-63, Canada, Rented accommodation,2.8
Jun-63, Canada, Owned accommodation,2.84
Jul-63, Canada, Rented accommodation,2.8
Jul-63, Canada, Owned accommodation,2.84
Aug-63, Canada, Rented accommodation,2.8
Aug-63, Canada, Owned accommodation,2.84
Sep-63, Canada, Rented accommodation,2.8
Sep-63, Canada, Owned accommodation,2.84
Oct-63, Canada, Rented accommodation,2.8
Oct-63, Canada, Owned accommodation,2.84
Nov-63, Canada, Rented accommodation,2.8
Nov-63, Canada, Owned accommodation,2.84
Dec-63, Canada, Rented accommodation,2.8
Dec-63, Canada, Owned accommodation,2.84
Jan-64, Canada, Rented accommodation,2.8
Jan-64, Canada, Owned accommodation,2.84
Feb-64, Canada, Rented accommodation,2.8
Feb-64, Canada, Owned accommodation,2.84
Mar-64, Canada, Rented accommodation,2.8
Mar-64, Canada, Owned accommodation,2.84
Apr-64, Canada, Rented accommodation,2.8
Apr-64, Canada, Owned accommodation,2.84
May-64, Canada, Rented accommodation,2.8
May-64, Canada, Owned accommodation,2.84
Jun-64, Canada, Rented accommodation,2.8
Jun-64, Canada, Owned accommodation,2.84
Jul-64, Canada, Rented accommodation,2.8
Jul-64, Canada, Owned accommodation,2.84
Aug-64, Canada, Rented accommodation,2.8
Aug-64, Canada, Owned accommodation,2.84
Sep-64, Canada, Rented accommodation,2.8
Sep-64, Canada, Owned accommodation,2.84
Oct-64, Canada, Rented accommodation,2.8
Oct-64, Canada, Owned accommodation,2.84
Nov-64, Canada, Rented accommodation,2.8
Nov-64, Canada, Owned accommodation,2.84
Dec-64, Canada, Rented accommodation,2.8
Dec-64, Canada, Owned accommodation,2.84
Jan-65, Canada, Rented accommodation,2.8
Jan-65, Canada, Owned accommodation,2.84
Feb-65, Canada, Rented accommodation,2.8
Feb-65, Canada, Owned accommodation,2.84
Mar-65, Canada, Rented accommodation,2.8
Mar-65, Canada, Owned accommodation,2.84
Apr-65, Canada, Rented accommodation,2.8
Apr-65, Canada, Owned accommodation,2.84
May-65, Canada, Rented accommodation,2.8
May-65, Canada, Owned accommodation,2.84
Jun-65, Canada, Rented accommodation,2.8
Jun-65, Canada, Owned accommodation,2.84
Jul-65, Canada, Rented accommodation,2.8
Jul-65, Canada, Owned accommodation,2.84
Aug-65, Canada, Rented accommodation,2.8
Aug-65, Canada, Owned accommodation,2.84
Sep-65, Canada, Rented accommodation,2.8
Sep-65, Canada, Owned accommodation,2.84
Oct-65, Canada, Rented accommodation,2.8
Oct-65, Canada, Owned accommodation,2.84
Nov-65, Canada, Rented accommodation,2.8
Nov-65, Canada, Owned accommodation,2.84
Dec-65, Canada, Rented accommodation,2.8
Dec-65, Canada, Owned accommodation,2.84
Jan-66, Canada, Rented accommodation,2.8
Jan-66, Canada, Owned accommodation,2.84
Feb-66, Canada, Rented accommodation,2.8
Feb-66, Canada, Owned accommodation,2.84
Mar-66, Canada, Rented accommodation,2.8
Mar-66, Canada, Owned accommodation,2.84
Apr-66, Canada, Rented accommodation,2.8
Apr-66, Canada, Owned accommodation,2.84
May-66, Canada, Rented accommodation,2.8
May-66, Canada, Owned accommodation,2.84
Jun-66, Canada, Rented accommodation,2.8
Jun-66, Canada, Owned accommodation,2.84
Jul-66, Canada, Rented accommodation,2.8
Jul-66, Canada, Owned accommodation,2.84
Aug-66, Canada, Rented accommodation,2.8
Aug-66, Canada, Owned accommodation,2.84
Sep-66, Canada, Rented accommodation,2.8
Sep-66, Canada, Owned accommodation,2.84
Oct-66, Canada, Rented accommodation,2.8
Oct-66, Canada, Owned accommodation,2.84
Nov-66, Canada, Rented accommodation,2.8
Nov-66, Canada, Owned accommodation,2.84
Dec-66, Canada, Rented accommodation,2.8
Dec-66, Canada, Owned accommodation,2.84
Jan-67, Canada, Rented accommodation,2.8
Jan-67, Canada, Owned accommodation,2.84
Feb-67, Canada, Rented accommodation,2.8
Feb-67, Canada, Owned accommodation,2.84
Mar-67, Canada, Rented accommodation,2.8
Mar-67, Canada, Owned accommodation,2.84
Apr-67, Canada, Rented accommodation,2.8
Apr-67, Canada, Owned accommodation,2.84
May-67, Canada, Rented accommodation,2.8
May-67, Canada, Owned accommodation,2.84
Jun-67, Canada, Rented accommodation,2.8
Jun-67, Canada, Owned accommodation,2.84
Jul-67, Canada, Rented accommodation,2.8
Jul-67, Canada, Owned accommodation,2.84
Aug-67, Canada, Rented accommodation,2.8
Aug-67, Canada, Owned accommodation,2.84
Sep-67, Canada, Rented accommodation,2.8
Sep-67, Canada, Owned accommodation,2.84
Oct-67, Canada, Rented accommodation,2.8
Oct-67, Canada, Owned accommodation,2.84
Nov-67, Canada, Rented accommodation,2.8
Nov-67, Canada, Owned accommodation,2.84
Dec-67, Canada, Rented accommodation,2.8
Dec-67, Canada, Owned accommodation,2.84
Jan-68, Canada, Rented accommodation,2.8
Jan-68, Canada, Owned accommodation,2.84
Feb-68, Canada, Rented accommodation,2.8
Feb-68, Canada, Owned accommodation,2.84
Mar-68, Canada, Rented accommodation,2.8
Mar-68, Canada, Owned accommodation,2.84
Apr-68, Canada, Rented accommodation,2.8
Apr-68, Canada, Owned accommodation,2.84
May-68, Canada, Rented accommodation,2.8
May-68, Canada, Owned accommodation,2.84
Jun-68, Canada, Rented accommodation,2.8
Jun-68, Canada, Owned accommodation,2.84
Jul-68, Canada, Rented accommodation,2.8
Jul-68, Canada, Owned accommodation,2.84
Aug-68, Canada, Rented accommodation,2.8
Aug-68, Canada, Owned accommodation,2.84
Sep-68, Canada, Rented accommodation,2.8
Sep-68, Canada, Owned accommodation,2.84
Oct-68, Canada, Rented accommodation,2.8
Oct-68, Canada, Owned accommodation,2.84
Nov-68, Canada, Rented accommodation,2.8
Nov-68, Canada, Owned accommodation,2.84
Dec-68, Canada, Rented accommodation,2.8
Dec-68, Canada, Owned accommodation,2.84
Jan-69, Canada, Rented accommodation,2.8
Jan-69, Canada, Owned accommodation,2.84
Feb-69, Canada, Rented accommodation,2.8
Feb-69, Canada, Owned accommodation,2.84
Mar-69, Canada, Rented accommodation,2.8
Mar-69, Canada, Owned accommodation,2.84
Apr-69, Canada, Rented accommodation,2.8
Apr-69, Canada, Owned accommodation,2.84
May-69, Canada, Rented accommodation,2.8
May-69, Canada, Owned accommodation,2.84
Jun-69, Canada, Rented accommodation,2.8
Jun-69, Canada, Owned accommodation,2.84
Jul-69, Canada, Rented accommodation,2.8
Jul-69, Canada, Owned accommodation,2.84
Aug-69, Canada, Rented accommodation,2.8
Aug-69, Canada, Owned accommodation,2.84
Sep-69, Canada, Rented accommodation,2.8
Sep-69, Canada, Owned accommodation,2.84
Oct-69, Canada, Rented accommodation,2.8
Oct-69, Canada, Owned accommodation,2.84
Nov-69, Canada, Rented accommodation,2.8
Nov-69, Canada, Owned accommodation,2.84
Dec-69, Canada, Rented accommodation,2.8
Dec-69, Canada, Owned accommodation,2.84
Jan-70, Canada, Rented accommodation,2.8
Jan-70, Canada, Owned accommodation,2.84
Feb-70, Canada, Rented accommodation,2.8
Feb-70, Canada, Owned accommodation,2.84
Mar-70, Canada, Rented accommodation,2.8
Mar-70, Canada, Owned accommodation,2.84
Apr-70, Canada, Rented accommodation,2.8
Apr-70, Canada, Owned accommodation,2.84
May-70, Canada, Rented accommodation,2.8
May-70, Canada, Owned accommodation,2.84
Jun-70, Canada, Rented accommodation,2.8
Jun-70, Canada, Owned accommodation,2.84
Jul-70, Canada, Rented accommodation,2.8
Jul-70, Canada, Owned accommodation,2.84
Aug-70, Canada, Rented accommodation,2.8
Aug-70, Canada, Owned accommodation,2.84
Sep-70, Canada, Rented accommodation,2.8
Sep-70, Canada, Owned accommodation,2.84
Oct-70, Canada, Rented accommodation,2.8
Oct-70, Canada, Owned accommodation,2.84
Nov-70, Canada, Rented accommodation,2.8
Nov-70, Canada, Owned accommodation,2.84
Dec-70, Canada, Rented accommodation,2.8
Dec-70, Canada, Owned accommodation,2.84
Jan-71, Canada, Rented accommodation,2.8
Jan-71, Canada, Owned accommodation,2.84
Jan-71, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Jan-71, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Jan-71, Halifax Nova Scotia, Rented accommodation,8.8
Jan-71, Halifax Nova Scotia, Owned accommodation,8.84
Jan-71, Saint John New Brunswick, Rented accommodation,10.8
Jan-71, Saint John New Brunswick, Owned accommodation,10.84
Jan-71, Québec Quebec, Rented accommodation,12.8
Jan-71, Québec Quebec, Owned accommodation,12.84
Jan-71, Montréal Quebec, Rented accommodation,13.8
Jan-71, Montréal Quebec, Owned accommodation,13.84
Jan-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Jan-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Jan-71, Toronto Ontario, Rented accommodation,16.8
Jan-71, Toronto Ontario, Owned accommodation,16.84
Jan-71, Thunder Bay Ontario, Rented accommodation,17.8
Jan-71, Thunder Bay Ontario, Owned accommodation,17.84
Jan-71, Winnipeg Manitoba, Rented accommodation,19.8
Jan-71, Winnipeg Manitoba, Owned accommodation,19.84
Jan-71, Regina Saskatchewan, Rented accommodation,21.8
Jan-71, Regina Saskatchewan, Owned accommodation,21.84
Jan-71, Saskatoon Saskatchewan, Rented accommodation,22.8
Jan-71, Saskatoon Saskatchewan, Owned accommodation,22.84
Jan-71, Edmonton Alberta, Rented accommodation,24.8
Jan-71, Edmonton Alberta, Owned accommodation,24.84
Jan-71, Calgary Alberta, Rented accommodation,25.8
Jan-71, Calgary Alberta, Owned accommodation,25.84
Jan-71, Vancouver British Columbia, Rented accommodation,27.8
Jan-71, Vancouver British Columbia, Owned accommodation,27.84
Feb-71, Canada, Rented accommodation,2.8
Feb-71, Canada, Owned accommodation,2.84
Feb-71, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Feb-71, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Feb-71, Halifax Nova Scotia, Rented accommodation,8.8
Feb-71, Halifax Nova Scotia, Owned accommodation,8.84
Feb-71, Saint John New Brunswick, Rented accommodation,10.8
Feb-71, Saint John New Brunswick, Owned accommodation,10.84
Feb-71, Québec Quebec, Rented accommodation,12.8
Feb-71, Québec Quebec, Owned accommodation,12.84
Feb-71, Montréal Quebec, Rented accommodation,13.8
Feb-71, Montréal Quebec, Owned accommodation,13.84
Feb-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Feb-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Feb-71, Toronto Ontario, Rented accommodation,16.8
Feb-71, Toronto Ontario, Owned accommodation,16.84
Feb-71, Thunder Bay Ontario, Rented accommodation,17.8
Feb-71, Thunder Bay Ontario, Owned accommodation,17.84
Feb-71, Winnipeg Manitoba, Rented accommodation,19.8
Feb-71, Winnipeg Manitoba, Owned accommodation,19.84
Feb-71, Regina Saskatchewan, Rented accommodation,21.8
Feb-71, Regina Saskatchewan, Owned accommodation,21.84
Feb-71, Saskatoon Saskatchewan, Rented accommodation,22.8
Feb-71, Saskatoon Saskatchewan, Owned accommodation,22.84
Feb-71, Edmonton Alberta, Rented accommodation,24.8
Feb-71, Edmonton Alberta, Owned accommodation,24.84
Feb-71, Calgary Alberta, Rented accommodation,25.8
Feb-71, Calgary Alberta, Owned accommodation,25.84
Feb-71, Vancouver British Columbia, Rented accommodation,27.8
Feb-71, Vancouver British Columbia, Owned accommodation,27.84
Mar-71, Canada, Rented accommodation,2.8
Mar-71, Canada, Owned accommodation,2.84
Mar-71, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Mar-71, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Mar-71, Halifax Nova Scotia, Rented accommodation,8.8
Mar-71, Halifax Nova Scotia, Owned accommodation,8.84
Mar-71, Saint John New Brunswick, Rented accommodation,10.8
Mar-71, Saint John New Brunswick, Owned accommodation,10.84
Mar-71, Québec Quebec, Rented accommodation,12.8
Mar-71, Québec Quebec, Owned accommodation,12.84
Mar-71, Montréal Quebec, Rented accommodation,13.8
Mar-71, Montréal Quebec, Owned accommodation,13.84
Mar-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Mar-71, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Mar-71, Toronto Ontario, Rented accommodation,16.8
Mar-71, Toronto Ontario, Owned accommodation,16.84
Mar-71, Thunder Bay Ontario, Rented accommodation,17.8
Mar-71, Thunder Bay Ontario, Owned accommodation,17.84
Mar-71, Winnipeg Manitoba, Rented accommodation,19.8
Mar-71, Winnipeg Manitoba, Owned accommodation,19.84
Mar-71, Regina Saskatchewan, Rented accommodation,21.8
Mar-71, Regina Saskatchewan, Owned accommodation,21.84
